2026-08-01 11:42:35,346 | INFO | training | Loading data
2026-08-01 11:42:35,375 | INFO | training | Splitting dataset
2026-08-01 11:42:35,384 | INFO | save | Pickle saved to C:\Users\chukw\Desktop\DATA SCIENCE AND BUSINESS ANALYTICS\Data Engineering\FairLoans\models\feature_names.pkl
2026-08-01 11:42:35,385 | INFO | training | Training models
2026-08-01 11:42:35,385 | INFO | training | ============================================================
2026-08-01 11:42:35,385 | INFO | training | Training model: logistic
2026-08-01 11:42:35,386 | INFO | training | ============================================================
2026-08-01 11:42:51,179 | INFO | save | Study saved to C:\Users\chukw\Desktop\DATA SCIENCE AND BUSINESS ANALYTICS\Data Engineering\FairLoans\models\studies\logistic_study.joblib
2026-08-01 11:42:51,181 | INFO | save | JSON saved to C:\Users\chukw\Desktop\DATA SCIENCE AND BUSINESS ANALYTICS\Data Engineering\FairLoans\models\studies\logistic_best_params.json
2026-08-01 11:42:51,284 | INFO | training | {'Accuracy': 0.7466666666666667, 'Balanced Accuracy': 0.6666666666666667, 'Precision': 0.6, 'Recall': 0.4666666666666667, 'F1': 0.525, 'ROC AUC': 0.7997883597883598, 'PR AUC': 0.5835071641190729, 'Log Loss': 0.4907964391683187, 'Brier Score': 0.16400969516739825, 'MCC': 0.36115755925730764, 'Cohen Kappa': 0.35593220338983056, 'Gini': 0.5995767195767197, 'KS': np.float64(0.4904761904761905), 'Confusion Matrix': array([[182,  28],
       [ 48,  42]]), 'Model': 'logistic'}
2026-08-01 11:42:51,284 | INFO | training | ============================================================
2026-08-01 11:42:51,285 | INFO | training | Training model: random_forest
2026-08-01 11:42:51,285 | INFO | training | ============================================================
2026-08-01 11:45:33,227 | INFO | save | Study saved to C:\Users\chukw\Desktop\DATA SCIENCE AND BUSINESS ANALYTICS\Data Engineering\FairLoans\models\studies\random_forest_study.joblib
2026-08-01 11:45:33,228 | INFO | save | JSON saved to C:\Users\chukw\Desktop\DATA SCIENCE AND BUSINESS ANALYTICS\Data Engineering\FairLoans\models\studies\random_forest_best_params.json
2026-08-01 11:45:33,874 | INFO | training | {'Accuracy': 0.7566666666666667, 'Balanced Accuracy': 0.6293650793650793, 'Precision': 0.717948717948718, 'Recall': 0.3111111111111111, 'F1': 0.43410852713178294, 'ROC AUC': 0.7993121693121693, 'PR AUC': 0.627345550465234, 'Log Loss': 0.49967896186355376, 'Brier Score': 0.1656420857289524, 'MCC': 0.35255379981705787, 'Cohen Kappa': 0.3087121212121212, 'Gini': 0.5986243386243386, 'KS': np.float64(0.4746031746031746), 'Confusion Matrix': array([[199,  11],
       [ 62,  28]]), 'Model': 'random_forest'}
